feature,importance
bnd_reserve_negative,279
bnd_reserve_positive,261
bnd_gas_plan_boundary_jn,163
p_jn_jn_dm2_same_hh_diff,159
p_jn_jn_dm1_same_hh,157
bnd_load_forecast_boundary_day_mean,150
hh_index,138
bnd_gas_plan_boundary_jb_rank,128
bnd_load_forecast_boundary,120
bnd_pv_forecast_boundary_jb_rank,117
bnd_load_forecast_boundary_day_std,111
re_penetration,102
bnd_load_forecast_boundary_diff,100
net_load,99
p_jb_nd_jb_dm1_max,99
p_jb_jb_dm1_max,99
bnd_reserve_positive_day_mean,97
p_jn_jn_dm1_same_hh_diff,97
p_jb_jb_dm7_same_hh_diff,92
re_total,89
bnd_wind_forecast_boundary_jn_rank,88
p_jn_jn_dm2_same_hh,85
bnd_pv_forecast_boundary_jb,84
bnd_receive_plan_boundary_day_std,83
p_jn_nd_jn_dm1_same_hh,80
p_jb_nd_jb_dm7_same_hh_diff,80
p_jn_jn_dm7_same_hh_diff,80
bnd_wind_forecast_boundary_jb,79
bnd_receive_plan_boundary,78
p_jn_nd_jn_dm1_same_hh_diff,77
bnd_wind_forecast_boundary_jb_rank,76
bnd_pv_forecast_boundary_jn,67
p_jb_nd_jb_dm7_same_hh,67
bnd_receive_plan_boundary_diff,66
p_jb_jb_dm1_std,65
p_jb_jb_dm2_same_hh_diff,65
bnd_wind_forecast_boundary_jn,63
bnd_reserve_positive_rank,61
p_jb_jb_dm1_same_hh_diff,60
bnd_reserve_negative_day_mean,59
p_jn_nd_jn_dm2_same_hh,58
p_jn_nd_jn_dm2_min,57
bnd_wind_forecast_boundary_jb_diff,57
p_jn_nd_jn_dm2_same_hh_diff,57
p_jn_jn_dm1_mean,56
p_jn_nd_jn_dm7_same_hh,56
p_jb_jb_dm1_mean,55
p_jb_jb_3d_trend,54
bnd_wind_forecast_boundary_jn_diff,53
bnd_gas_plan_boundary_jb,53
bnd_gas_plan_boundary_jn_rank,52
bnd_load_forecast_boundary_rank,52
p_jb_nd_jb_dm2_same_hh_diff,51
bnd_gas_plan_boundary_jn_day_std,50
p_jn_jn_dm7_same_hh,50
dow,50
bnd_reserve_positive_diff,50
p_jb_nd_jb_dm1_same_hh_diff,50
p_jn_nd_jn_dm7_same_hh_diff,47
bnd_gas_plan_boundary_jn_day_mean,46
p_jn_jn_dm7_std,45
bnd_reserve_negative_rank,44
net_load_rank,44
bnd_reserve_negative_diff,43
p_jb_nd_jb_3d_avg,42
p_jn_jn_3d_trend,41
bnd_pv_forecast_boundary_jn_day_mean,40
p_jn_nd_jn_3d_avg,40
bnd_pv_forecast_boundary_jn_rank,39
p_jn_nd_jn_dm7_std,37
p_jn_nd_jn_dm7_min,37
p_jb_jb_dm2_same_hh,37
p_jn_nd_jn_dm7_max,37
p_jn_nd_jn_dm7_mean,36
p_jn_nd_jn_dm1_mean,36
net_load_day_mean,36
bnd_reserve_positive_day_std,35
bnd_receive_plan_boundary_rank,34
bnd_pv_forecast_boundary_jb_day_mean,34
p_jb_nd_jb_dm7_std,34
p_jb_nd_jb_dm1_same_hh,34
p_jb_nd_jb_dm2_mean,32
p_jn_jn_dm2_std,32
p_jb_jb_dm7_mean,31
p_jb_jb_dm7_same_hh,31
bnd_pv_forecast_boundary_jn_diff,31
bnd_receive_plan_boundary_day_mean,31
p_jn_nd_jn_3d_trend,31
p_jn_nd_jn_dm2_max,30
p_jb_jb_dm7_std,30
p_jb_nd_jb_3d_trend,29
p_jb_nd_jb_dm1_mean,29
p_jn_nd_jn_dm1_max,29
p_jb_nd_jb_dm2_max,29
bnd_reserve_negative_day_std,28
bnd_gas_plan_boundary_jb_day_mean,27
p_jn_jn_dm1_std,27
p_jb_nd_jb_dm7_min,27
bnd_wind_forecast_boundary_jb_day_mean,26
bnd_wind_forecast_boundary_jn_day_std,26
bnd_gas_plan_boundary_jb_day_std,25
bnd_pv_forecast_boundary_jb_diff,25
p_jb_jb_dm1_same_hh,25
bnd_wind_forecast_boundary_jn_day_mean,25
p_jb_jb_3d_avg,23
bnd_wind_forecast_boundary_jb_day_std,23
p_jb_jb_dm2_max,23
p_jb_jb_dm2_mean,23
p_jb_nd_jb_dm2_same_hh,22
p_jb_nd_jb_dm7_max,22
p_jn_nd_jn_dm1_std,22
p_jb_jb_dm2_std,22
p_jn_jn_dm2_min,21
p_jn_jn_dm2_mean,21
p_jb_nd_jb_dm2_min,20
p_jb_nd_jb_dm1_std,20
p_jn_jn_dm7_mean,19
p_jb_jb_dm2_min,19
p_jn_jn_dm1_max,18
net_load_day_std,18
p_jn_nd_jn_dm2_mean,18
p_jn_nd_jn_dm1_min,15
p_jb_nd_jb_dm1_min,14
p_jb_nd_jb_dm2_std,14
hh_floor_rate_7d,13
bnd_gas_plan_boundary_jn_diff,13
re_total_day_mean,13
bnd_pv_forecast_boundary_jb_day_std,12
p_jn_nd_jn_dm2_std,12
p_jb_jb_dm1_min,11
p_jn_jn_3d_avg,11
dm1_floor_rate,10
p_jb_nd_jb_dm7_mean,10
bnd_pv_forecast_boundary_jn_day_std,8
p_jn_jn_dm2_max,8
p_jb_jb_dm7_max,6
p_jn_jn_dm7_min,6
dm1_spike_rate,5
bnd_gas_plan_boundary_jb_diff,5
p_jb_jb_dm7_min,4
dm1_floor_count,4
month,3
p_jn_jn_dm1_min,2
is_weekend,2
p_jn_jn_dm7_max,0
