feature,importance
bnd_reserve_positive,377
bnd_reserve_negative,300
bnd_gas_plan_boundary_jn,271
bnd_load_forecast_boundary_day_mean,263
bnd_load_forecast_boundary_day_std,235
bnd_load_forecast_boundary,211
bnd_wind_forecast_boundary_jn_rank,196
hh_index,194
net_load,190
re_total,187
p_jn_jn_dm2_same_hh_diff,184
receive_actual_dm1_mean,181
pv_actual_jb_dm1_same_hh,165
bnd_load_forecast_boundary_rank,162
bnd_receive_plan_boundary,162
bnd_reserve_positive_day_mean,162
re_fcst_err_dm1_std,159
load_actual_dm1_std,159
re_penetration,157
rt_jb_nd_jb_dm1_std,153
bnd_wind_forecast_boundary_jb,151
bnd_wind_forecast_boundary_jb_rank,150
bnd_gas_plan_boundary_jb,149
p_jb_nd_jb_3d_trend,148
bnd_pv_forecast_boundary_jb_diff,148
p_jn_nd_jn_dm7_same_hh,142
p_jn_jn_dm7_same_hh_diff,140
re_fcst_err_dm1_mean,140
p_jb_nd_jb_dm7_same_hh,138
bnd_reserve_positive_rank,136
p_jn_jn_3d_avg,136
bnd_wind_forecast_boundary_jb_diff,136
rt_jn_nd_jn_dm1_std,135
p_jb_nd_jb_dm7_same_hh_diff,133
bnd_reserve_negative_day_std,132
wind_actual_jn_dm1_same_hh,132
p_jb_jb_3d_trend,129
p_jb_jb_dm1_same_hh_diff,129
dm1_spread_jb_same_hh,128
net_load_actual_dm1_same_hh,127
rt_jn_nd_jn_dm2_same_hh,126
wind_actual_jb_dm1_same_hh,125
net_load_actual_dm1_min,124
bnd_pv_forecast_boundary_jb_rank,123
p_jb_jb_dm2_same_hh_diff,123
load_actual_dm1_same_hh,122
bnd_load_forecast_boundary_diff,119
wind_actual_jb_dm1_mean,115
p_jn_jn_3d_trend,113
pv_actual_jn_dm1_same_hh,106
p_jb_nd_jb_dm1_same_hh,106
p_jb_jb_dm1_mean,103
p_jb_jb_dm7_same_hh_diff,103
p_jn_nd_jn_dm1_same_hh,100
gas_actual_jn_dm1_same_hh,100
p_jb_nd_jb_dm2_same_hh_diff,99
p_jb_nd_jb_dm1_same_hh_diff,99
bnd_wind_forecast_boundary_jn_diff,99
p_jn_nd_jn_dm2_same_hh,97
wind_actual_jb_dm1_std,96
p_jb_nd_jb_dm2_same_hh,96
receive_actual_dm1_same_hh,92
bnd_gas_plan_boundary_jb_rank,91
bnd_wind_forecast_boundary_jn,90
p_jn_nd_jn_dm7_same_hh_diff,86
p_jb_jb_dm1_same_hh,83
p_jn_jn_dm7_same_hh,83
bnd_pv_forecast_boundary_jb,82
rt_jn_jn_dm1_same_hh,82
bnd_reserve_positive_diff,81
gas_actual_jb_dm1_same_hh,80
bnd_pv_forecast_boundary_jn_rank,79
bnd_reserve_negative_rank,78
p_jn_jn_dm1_same_hh_diff,78
p_jn_nd_jn_dm1_same_hh_diff,78
rt_jb_jb_dm2_same_hh,76
rt_jb_nd_jb_dm2_same_hh,74
bnd_gas_plan_boundary_jn_rank,71
rt_jn_nd_jn_dm1_same_hh,70
gas_actual_jb_dm1_mean,66
p_jn_jn_dm1_same_hh,66
bnd_receive_plan_boundary_rank,66
dm1_spread_jn_same_hh,64
p_jb_jb_dm2_same_hh,61
net_load_rank,60
rt_jb_nd_jb_dm1_same_hh,56
rt_jn_jn_dm2_same_hh,53
bnd_reserve_negative_diff,52
p_jb_jb_dm7_same_hh,52
p_jn_nd_jn_dm2_same_hh_diff,49
