feature,importance
bnd_reserve_positive,258
bnd_reserve_positive_day_mean,216
bnd_reserve_negative,199
bnd_gas_plan_boundary_jb_rank,189
bnd_gas_plan_boundary_jn,187
p_jn_jn_dm1_same_hh,180
hh_index,163
re_total,146
bnd_reserve_negative_day_mean,144
bnd_load_forecast_boundary,136
net_load,125
p_jb_nd_jb_dm7_same_hh_diff,118
p_jn_jn_dm2_same_hh_diff,113
wind_actual_jn_dm1_same_hh,111
receive_actual_dm1_mean,108
bnd_gas_plan_boundary_jn_rank,107
p_jn_jn_dm1_same_hh_diff,104
bnd_load_forecast_boundary_day_mean,103
load_fcst_err_dm1_mean,103
gas_actual_jn_dm1_std,102
p_jb_jb_dm7_same_hh_diff,101
bnd_gas_plan_boundary_jn_day_std,100
p_jn_jn_3d_trend,100
p_jn_jn_dm7_same_hh_diff,97
bnd_wind_forecast_boundary_jb,97
p_jn_nd_jn_dm7_min,97
receive_actual_dm1_same_hh,95
p_jb_jb_dm2_same_hh_diff,95
bnd_pv_forecast_boundary_jb_rank,95
bnd_reserve_negative_rank,92
bnd_reserve_positive_rank,92
bnd_gas_plan_boundary_jb,91
rt_jn_jn_dm1_same_hh,90
wind_actual_jn_dm1_mean,88
bnd_wind_forecast_boundary_jn_rank,87
p_jb_nd_jb_dm2_same_hh_diff,84
re_penetration,84
pv_actual_jb_dm1_same_hh,83
p_jb_jb_dm1_std,83
p_jn_nd_jn_dm7_same_hh_diff,82
bnd_gas_plan_boundary_jn_day_mean,81
wind_actual_jb_dm1_mean,80
p_jn_jn_dm7_same_hh,78
bnd_load_forecast_boundary_day_std,77
bnd_receive_plan_boundary_day_mean,76
wind_actual_jb_dm1_same_hh,76
bnd_wind_forecast_boundary_jb_rank,74
p_jn_nd_jn_dm7_same_hh,72
wind_actual_jb_dm1_std,72
p_jn_nd_jn_dm2_same_hh_diff,72
p_jn_jn_dm1_mean,71
pv_actual_jn_dm1_same_hh,70
bnd_wind_forecast_boundary_jn_day_mean,70
vol_7d_jb,70
rt_jb_nd_jb_dm1_std,69
bnd_reserve_positive_diff,69
p_jb_nd_jb_dm1_max,68
rt_jn_jn_dm2_mean,68
re_fcst_err_dm1_std,67
p_jb_nd_jb_dm2_same_hh,66
p_jb_jb_dm1_mean,64
dm1_spread_jn_abs_mean,64
gas_actual_jb_dm1_mean,64
p_jn_nd_jn_dm2_same_hh,63
load_actual_dm1_same_hh,62
net_load_actual_dm1_same_hh,61
rt_jb_nd_jb_dm2_std,61
p_jb_nd_jb_3d_trend,61
p_jb_nd_jb_dm7_max,61
p_jn_nd_jn_dm1_same_hh_diff,59
dm1_spread_jb_mean,56
p_jb_nd_jb_dm1_same_hh,56
p_jn_nd_jn_dm1_same_hh,55
p_jb_nd_jb_dm7_std,54
p_jb_nd_jb_dm1_same_hh_diff,53
p_jn_jn_dm1_std,52
bnd_load_forecast_boundary_rank,51
gas_actual_jn_dm1_same_hh,51
rt_jn_nd_jn_dm1_same_hh,48
load_actual_dm1_std,48
bnd_pv_forecast_boundary_jb,48
p_jb_jb_dm1_max,47
p_jb_nd_jb_dm7_same_hh,47
rt_jb_nd_jb_dm1_same_hh,46
p_jn_nd_jn_dm1_std,45
p_jn_jn_dm2_same_hh,44
rt_jn_jn_dm1_std,43
gas_actual_jb_dm1_same_hh,42
bnd_gas_plan_boundary_jb_day_mean,40
pv_actual_jn_dm1_mean,39
p_jb_jb_3d_trend,39
rt_jb_jb_dm2_same_hh,36
p_jb_jb_dm1_same_hh_diff,35
dm1_spread_jb_same_hh,35
pv_actual_jb_dm1_std,34
bnd_pv_forecast_boundary_jn_rank,33
rt_jn_nd_jn_dm2_spike_rate,31
pv_actual_jn_dm1_std,29
rt_jb_jb_dm1_same_hh,21
p_jb_jb_dm2_min,20
