feature,importance
bnd_reserve_positive,306
bnd_gas_plan_boundary_jb,304
bnd_gas_plan_boundary_jn,286
bnd_gas_plan_boundary_jb_rank,275
bnd_receive_plan_boundary,274
bnd_load_forecast_boundary,261
bnd_reserve_negative,261
receive_actual_dm1_mean,253
re_fcst_err_dm1_mean,248
bnd_wind_forecast_boundary_jb,246
wind_actual_jn_dm1_same_hh,241
wind_actual_jb_dm1_same_hh,236
p_jn_jn_3d_avg,233
p_jb_jb_dm1_same_hh,222
re_total,216
bnd_load_forecast_boundary_day_mean,215
bnd_wind_forecast_boundary_jb_rank,207
net_load,206
rt_jn_nd_jn_dm1_std,205
re_penetration,204
pv_actual_jb_dm1_same_hh,201
bnd_reserve_positive_day_mean,201
bnd_wind_forecast_boundary_jb_diff,198
re_fcst_err_dm1_std,196
p_jb_jb_dm2_same_hh_diff,191
bnd_wind_forecast_boundary_jn,189
p_jn_jn_dm2_same_hh_diff,188
p_jb_nd_jb_dm2_same_hh_diff,183
bnd_gas_plan_boundary_jn_rank,181
bnd_load_forecast_boundary_day_std,175
net_load_actual_dm1_min,173
p_jb_nd_jb_dm7_same_hh,172
p_jb_jb_3d_trend,169
p_jb_nd_jb_3d_trend,169
p_jn_jn_dm7_same_hh_diff,168
bnd_wind_forecast_boundary_jn_rank,167
wind_actual_jb_dm1_std,166
rt_jb_nd_jb_dm1_std,166
bnd_reserve_positive_rank,163
bnd_reserve_negative_day_std,160
p_jb_jb_dm1_same_hh_diff,160
wind_actual_jb_dm1_mean,156
p_jb_nd_jb_dm7_same_hh_diff,155
load_actual_dm1_same_hh,153
hh_index,152
bnd_load_forecast_boundary_rank,147
p_jn_jn_dm7_same_hh,147
bnd_wind_forecast_boundary_jn_diff,146
net_load_actual_dm1_same_hh,142
pv_actual_jn_dm1_same_hh,142
receive_actual_dm1_same_hh,141
p_jn_jn_dm1_same_hh_diff,141
p_jn_nd_jn_dm1_same_hh_diff,140
gas_actual_jb_dm1_mean,136
p_jn_nd_jn_dm1_same_hh,136
p_jb_nd_jb_dm2_same_hh,135
rt_jb_nd_jb_dm2_same_hh,135
load_actual_dm1_std,134
p_jn_nd_jn_dm7_same_hh,132
rt_jn_nd_jn_dm2_same_hh,132
gas_actual_jb_dm1_same_hh,128
p_jb_jb_dm7_same_hh_diff,128
p_jb_jb_dm1_mean,127
p_jn_nd_jn_dm2_same_hh,126
p_jb_nd_jb_dm1_same_hh,125
p_jb_jb_dm2_same_hh,125
dm1_spread_jb_same_hh,122
p_jb_nd_jb_dm1_same_hh_diff,121
bnd_pv_forecast_boundary_jb_rank,120
p_jn_nd_jn_dm7_same_hh_diff,119
bnd_load_forecast_boundary_diff,116
p_jn_jn_dm1_same_hh,116
rt_jb_jb_dm2_same_hh,115
bnd_receive_plan_boundary_rank,114
p_jn_jn_3d_trend,112
bnd_reserve_negative_rank,111
gas_actual_jn_dm1_same_hh,104
bnd_pv_forecast_boundary_jb_diff,101
bnd_pv_forecast_boundary_jn_rank,101
rt_jn_jn_dm2_same_hh,101
rt_jn_jn_dm1_same_hh,99
bnd_pv_forecast_boundary_jb,98
p_jn_nd_jn_dm2_same_hh_diff,93
dm1_spread_jn_same_hh,88
p_jb_jb_dm7_same_hh,85
rt_jn_nd_jn_dm1_same_hh,82
net_load_rank,78
bnd_reserve_positive_diff,78
rt_jb_nd_jb_dm1_same_hh,78
bnd_reserve_negative_diff,49
