feature,importance
bnd_reserve_positive,387
bnd_reserve_negative,285
re_total,260
bnd_gas_plan_boundary_jn,229
net_load,225
hh_index,221
pv_actual_jb_dm1_same_hh,200
bnd_load_forecast_boundary,200
p_jn_jn_dm2_same_hh_diff,179
bnd_reserve_positive_day_mean,175
bnd_wind_forecast_boundary_jb_diff,174
bnd_wind_forecast_boundary_jb,173
bnd_wind_forecast_boundary_jn_rank,172
bnd_load_forecast_boundary_day_std,164
p_jn_nd_jn_dm7_same_hh,161
bnd_load_forecast_boundary_rank,158
bnd_gas_plan_boundary_jb,156
bnd_wind_forecast_boundary_jb_rank,156
p_jn_jn_dm7_same_hh_diff,150
bnd_load_forecast_boundary_diff,149
bnd_load_forecast_boundary_day_mean,147
bnd_wind_forecast_boundary_jn,147
dm1_spread_jb_same_hh,146
bnd_pv_forecast_boundary_jb_diff,144
re_fcst_err_dm1_std,143
wind_actual_jb_dm1_same_hh,143
p_jb_nd_jb_dm7_same_hh_diff,140
bnd_reserve_positive_rank,139
bnd_receive_plan_boundary,138
p_jn_jn_3d_avg,136
re_penetration,135
wind_actual_jn_dm1_same_hh,131
pv_actual_jn_dm1_same_hh,131
p_jb_nd_jb_3d_trend,128
p_jb_jb_dm2_same_hh_diff,126
receive_actual_dm1_mean,124
p_jb_nd_jb_dm7_same_hh,124
rt_jb_nd_jb_dm2_same_hh,121
bnd_reserve_negative_day_std,120
bnd_pv_forecast_boundary_jb_rank,120
bnd_gas_plan_boundary_jb_rank,120
net_load_actual_dm1_same_hh,118
bnd_wind_forecast_boundary_jn_diff,117
load_actual_dm1_std,116
p_jn_jn_3d_trend,115
wind_actual_jb_dm1_mean,115
p_jb_jb_dm1_same_hh_diff,115
re_fcst_err_dm1_mean,114
load_actual_dm1_same_hh,114
rt_jb_nd_jb_dm1_std,113
p_jb_jb_dm1_mean,111
gas_actual_jn_dm1_same_hh,110
p_jb_nd_jb_dm2_same_hh,109
net_load_actual_dm1_min,109
p_jn_nd_jn_dm1_same_hh,109
p_jb_nd_jb_dm1_same_hh_diff,107
rt_jn_nd_jn_dm1_std,106
bnd_pv_forecast_boundary_jb,103
p_jn_nd_jn_dm2_same_hh,102
bnd_gas_plan_boundary_jn_rank,100
p_jn_nd_jn_dm7_same_hh_diff,99
p_jb_jb_dm1_same_hh,98
rt_jn_jn_dm1_same_hh,98
dm1_spread_jn_same_hh,98
bnd_pv_forecast_boundary_jn_rank,97
wind_actual_jb_dm1_std,94
rt_jn_nd_jn_dm2_same_hh,92
p_jn_jn_dm1_same_hh_diff,92
rt_jb_jb_dm2_same_hh,92
bnd_reserve_negative_rank,91
receive_actual_dm1_same_hh,89
bnd_receive_plan_boundary_rank,89
gas_actual_jb_dm1_same_hh,89
p_jn_jn_dm7_same_hh,84
p_jb_jb_3d_trend,84
p_jb_jb_dm7_same_hh_diff,84
p_jb_nd_jb_dm1_same_hh,81
p_jn_nd_jn_dm2_same_hh_diff,81
p_jb_nd_jb_dm2_same_hh_diff,80
bnd_reserve_positive_diff,80
p_jb_jb_dm2_same_hh,74
rt_jn_nd_jn_dm1_same_hh,73
p_jn_nd_jn_dm1_same_hh_diff,73
rt_jn_jn_dm2_same_hh,72
net_load_rank,71
p_jn_jn_dm1_same_hh,68
gas_actual_jb_dm1_mean,67
p_jb_jb_dm7_same_hh,58
bnd_reserve_negative_diff,55
rt_jb_nd_jb_dm1_same_hh,54
