feature,importance
bnd_reserve_positive,232
bnd_reserve_negative,166
bnd_gas_plan_boundary_jb_rank,165
hh_index,158
bnd_reserve_positive_day_mean,151
bnd_gas_plan_boundary_jn,150
bnd_load_forecast_boundary,147
p_jn_jn_dm7_same_hh_diff,133
re_total,130
p_jn_jn_dm1_same_hh,129
p_jn_jn_dm2_same_hh_diff,116
p_jb_jb_dm7_same_hh_diff,115
bnd_reserve_negative_day_mean,115
p_jn_nd_jn_dm7_same_hh,114
p_jn_jn_3d_trend,113
bnd_load_forecast_boundary_day_mean,113
wind_actual_jn_dm1_same_hh,109
bnd_wind_forecast_boundary_jb,108
bnd_gas_plan_boundary_jn_rank,105
receive_actual_dm1_same_hh,102
p_jn_nd_jn_dm7_same_hh_diff,102
p_jn_jn_dm1_same_hh_diff,102
wind_actual_jn_dm1_mean,100
wind_actual_jb_dm1_same_hh,100
p_jb_jb_dm2_same_hh_diff,98
pv_actual_jb_dm1_same_hh,88
net_load,86
bnd_gas_plan_boundary_jb,85
p_jn_nd_jn_dm1_same_hh_diff,85
bnd_wind_forecast_boundary_jn_rank,84
receive_actual_dm1_mean,84
load_fcst_err_dm1_mean,82
p_jb_nd_jb_dm7_same_hh_diff,80
p_jb_jb_dm1_same_hh_diff,79
load_actual_dm1_same_hh,79
bnd_load_forecast_boundary_day_std,78
bnd_reserve_positive_diff,78
gas_actual_jn_dm1_std,76
net_load_actual_dm1_same_hh,75
p_jn_nd_jn_dm7_min,72
rt_jn_jn_dm1_same_hh,72
re_penetration,71
p_jb_nd_jb_dm1_same_hh_diff,70
pv_actual_jn_dm1_same_hh,68
p_jn_jn_dm1_mean,67
bnd_reserve_positive_rank,67
p_jb_nd_jb_dm2_same_hh_diff,66
bnd_wind_forecast_boundary_jb_rank,65
gas_actual_jb_dm1_same_hh,64
rt_jn_jn_dm2_mean,64
p_jb_nd_jb_dm2_same_hh,64
vol_7d_jb,63
bnd_gas_plan_boundary_jn_day_mean,63
gas_actual_jn_dm1_same_hh,63
bnd_pv_forecast_boundary_jb_rank,63
p_jb_jb_dm1_std,63
p_jn_nd_jn_dm2_same_hh,62
bnd_reserve_negative_rank,61
p_jb_nd_jb_dm7_std,61
p_jb_nd_jb_dm1_same_hh,60
p_jb_jb_3d_trend,60
p_jb_nd_jb_dm7_max,59
p_jb_nd_jb_dm1_max,58
load_actual_dm1_std,57
re_fcst_err_dm1_std,57
rt_jb_jb_dm2_same_hh,57
dm1_spread_jb_mean,56
p_jn_nd_jn_dm1_same_hh,56
bnd_load_forecast_boundary_rank,55
p_jn_nd_jn_dm2_same_hh_diff,55
dm1_spread_jn_abs_mean,53
rt_jb_nd_jb_dm2_std,53
p_jn_jn_dm7_same_hh,52
dm1_spread_jb_same_hh,51
p_jb_nd_jb_3d_trend,50
rt_jb_nd_jb_dm1_std,49
rt_jn_jn_dm1_std,49
wind_actual_jb_dm1_mean,48
p_jb_nd_jb_dm7_same_hh,47
bnd_pv_forecast_boundary_jb,47
p_jn_jn_dm1_std,45
bnd_gas_plan_boundary_jb_day_mean,45
rt_jb_nd_jb_dm1_same_hh,44
bnd_gas_plan_boundary_jn_day_std,44
rt_jn_nd_jn_dm1_same_hh,42
pv_actual_jb_dm1_std,42
bnd_wind_forecast_boundary_jn_day_mean,41
bnd_receive_plan_boundary_day_mean,39
pv_actual_jn_dm1_mean,39
bnd_pv_forecast_boundary_jn_rank,39
p_jn_jn_dm2_same_hh,39
p_jb_jb_dm1_mean,39
wind_actual_jb_dm1_std,38
rt_jb_jb_dm1_same_hh,36
p_jn_nd_jn_dm1_std,36
gas_actual_jb_dm1_mean,35
pv_actual_jn_dm1_std,34
p_jb_jb_dm1_max,33
p_jb_jb_dm2_min,24
rt_jn_nd_jn_dm2_spike_rate,15
