feature,importance
bnd_pv_forecast_boundary_jb_diff,271
bnd_reserve_negative,254
bnd_reserve_positive,217
bnd_wind_forecast_boundary_jb_diff,199
bnd_load_forecast_boundary,183
pv_actual_jn_dm1_same_hh,158
load_actual_dm1_same_hh,155
gas_actual_jb_dm1_same_hh,153
bnd_load_forecast_boundary_diff,151
bnd_gas_plan_boundary_jn_rank,140
pv_actual_jb_dm1_same_hh,137
re_total,136
bnd_pv_forecast_boundary_jb,123
bnd_pv_forecast_boundary_jn,121
p_jn_jn_dm7_same_hh_diff,121
p_jb_jb_dm1_same_hh_diff,120
dm1_spread_jn_same_hh,119
bnd_wind_forecast_boundary_jb,117
net_load,117
p_jn_nd_jn_dm1_same_hh_diff,104
p_jb_nd_jb_dm7_same_hh_diff,103
p_jn_nd_jn_dm1_same_hh,102
p_jn_jn_dm1_same_hh_diff,100
bnd_wind_forecast_boundary_jb_rank,100
wind_actual_jb_dm1_same_hh,99
rt_jn_nd_jn_dm2_same_hh,98
gas_actual_jn_dm1_same_hh,97
bnd_load_forecast_boundary_rank,94
bnd_reserve_positive_diff,94
bnd_load_forecast_boundary_day_mean,94
re_penetration,93
bnd_wind_forecast_boundary_jn_diff,93
wind_actual_jn_dm1_same_hh,91
bnd_pv_forecast_boundary_jn_diff,89
p_jn_nd_jn_dm7_same_hh_diff,89
p_jn_nd_jn_dm1_std,88
bnd_reserve_positive_day_std,85
bnd_gas_plan_boundary_jb_rank,84
bnd_reserve_positive_rank,82
rt_jb_nd_jb_dm2_std,81
net_load_actual_dm1_same_hh,80
bnd_receive_plan_boundary_diff,78
bnd_gas_plan_boundary_jn,75
bnd_receive_plan_boundary_day_std,73
p_jb_jb_dm7_same_hh_diff,73
bnd_gas_plan_boundary_jn_diff,73
dm1_spread_jb_std,72
bnd_wind_forecast_boundary_jn,71
bnd_reserve_negative_rank,69
bnd_wind_forecast_boundary_jn_rank,68
p_jb_nd_jb_dm1_same_hh_diff,67
bnd_receive_plan_boundary_rank,66
p_jn_jn_dm2_same_hh_diff,66
p_jb_nd_jb_dm2_same_hh_diff,65
net_load_actual_dm1_min,64
rt_jb_nd_jb_dm1_std,62
bnd_gas_plan_boundary_jb,62
rt_jb_nd_jb_dm1_same_hh,60
rt_jn_jn_dm2_std,60
rt_jb_jb_dm2_std,59
p_jn_nd_jn_dm2_same_hh,59
rt_jn_jn_dm1_same_hh,57
p_jb_jb_dm1_std,56
p_jb_jb_dm2_same_hh_diff,55
p_jn_nd_jn_dm2_same_hh_diff,55
net_load_actual_dm1_mean,54
receive_actual_dm1_mean,50
bnd_reserve_negative_diff,50
p_jb_nd_jb_dm1_std,46
rt_jn_jn_dm2_same_hh,46
rt_jn_nd_jn_dm1_max,44
rt_jn_nd_jn_dm1_std,44
receive_actual_dm1_same_hh,43
p_jn_jn_dm2_same_hh,42
bnd_pv_forecast_boundary_jb_day_mean,42
wind_actual_jn_dm1_std,41
bnd_wind_forecast_boundary_jb_day_std,40
bnd_receive_plan_boundary,40
gas_actual_jb_dm1_std,37
wind_actual_jb_dm1_std,37
bnd_receive_plan_boundary_day_mean,37
net_load_rank,36
rt_jb_jb_dm1_max,34
net_load_day_mean,31
p_jb_jb_dm1_mean,30
gas_actual_jb_dm1_mean,29
hh_index,23
bnd_reserve_negative_day_std,23
p_jb_nd_jb_dm1_max,21
p_jb_jb_dm1_max,14
