feature,importance
receive_actual_dm1_std,11
bnd_reserve_positive,9
bnd_reserve_negative,6
bnd_gas_plan_boundary_jb_rank,6
bnd_reserve_negative_day_mean,6
bnd_gas_plan_boundary_jn,6
trend_7d_jb,5
bnd_pv_forecast_boundary_jn_day_mean,5
p_jn_jn_dm7_mean,5
p_jb_nd_jb_dm1_max,5
p_jn_nd_jn_dm1_max,5
rt_jb_jb_dm2_std,4
p_jn_nd_jn_dm7_std,4
rt_jb_nd_jb_dm2_max,3
load_fcst_err_dm1_mean,3
p_jn_nd_jn_dm2_same_hh_diff,3
p_jb_jb_dm7_std,3
p_jn_jn_dm2_std,3
p_jn_jn_dm1_same_hh_diff,3
p_jn_nd_jn_dm1_same_hh,3
p_jb_jb_dm7_same_hh_diff,3
p_jb_nd_jb_dm7_same_hh_diff,3
bnd_gas_plan_boundary_jb,3
net_load,3
bnd_load_forecast_boundary,3
bnd_load_forecast_boundary_rank,3
dm1_spread_jb_abs_mean,2
p_jb_nd_jb_3d_trend,2
gas_actual_jn_dm1_std,2
re_total,2
p_jb_nd_jb_dm2_mean,2
p_jn_nd_jn_dm7_same_hh,2
rt_jb_jb_dm2_same_hh,1
bnd_gas_plan_boundary_jb_day_std,1
p_jb_jb_3d_trend,1
bnd_reserve_positive_rank,1
rt_jb_nd_jb_dm1_max,1
bnd_receive_plan_boundary,1
net_load_rank,1
p_jn_jn_dm2_same_hh,1
receive_actual_dm1_same_hh,1
rt_jn_nd_jn_dm1_std,1
bnd_gas_plan_boundary_jn_day_std,1
net_load_actual_dm1_same_hh,1
gas_actual_jn_dm1_mean,1
bnd_receive_plan_boundary_diff,1
p_jb_nd_jb_dm2_std,1
bnd_load_forecast_boundary_day_std,1
p_jb_nd_jb_dm7_same_hh,1
bnd_wind_forecast_boundary_jn,1
wind_actual_jn_dm1_std,1
load_actual_dm1_mean,1
bnd_wind_forecast_boundary_jn_day_mean,1
load_actual_dm1_std,1
re_total_day_mean,1
wind_actual_jb_dm1_mean,1
pv_actual_jn_dm1_mean,1
bnd_pv_forecast_boundary_jb_diff,1
bnd_reserve_positive_day_mean,1
re_fcst_err_dm1_mean,1
bnd_gas_plan_boundary_jn_day_mean,1
p_jb_nd_jb_dm2_max,0
p_jn_jn_dm7_same_hh_diff,0
bnd_wind_forecast_boundary_jn_rank,0
rt_jb_nd_jb_dm1_spike_rate,0
bnd_load_forecast_boundary_diff,0
dm1_spread_jb_mean,0
p_jn_nd_jn_dm2_same_hh,0
p_jn_nd_jn_dm2_max,0
rt_jn_jn_dm2_std,0
p_jn_nd_jn_dm7_same_hh_diff,0
rt_jb_nd_jb_dm1_same_hh,0
p_jb_jb_dm2_same_hh,0
bnd_reserve_negative_rank,0
gas_actual_jn_dm1_same_hh,0
pv_actual_jb_dm1_same_hh,0
pv_actual_jn_dm1_std,0
bnd_pv_forecast_boundary_jn_day_std,0
wind_actual_jb_dm1_same_hh,0
re_fcst_err_dm1_std,0
p_jb_nd_jb_dm7_std,0
p_jn_jn_3d_trend,0
p_jb_nd_jb_dm1_min,0
p_jn_jn_dm2_max,0
bnd_wind_forecast_boundary_jn_diff,0
p_jn_nd_jn_dm1_std,0
p_jb_nd_jb_dm2_same_hh,0
bnd_gas_plan_boundary_jn_rank,0
gas_actual_jb_dm1_same_hh,0
p_jb_jb_dm7_same_hh,0
