feature,importance
bnd_reserve_negative,165
bnd_wind_forecast_boundary_jn,165
bnd_pv_forecast_boundary_jb_rank,163
rt_jn_nd_jn_dm2_same_hh,146
bnd_load_forecast_boundary_rank,144
wind_actual_jn_dm1_same_hh,141
bnd_gas_plan_boundary_jn_rank,141
bnd_load_forecast_boundary,138
p_jn_jn_dm1_same_hh,121
p_jn_jn_dm2_same_hh_diff,113
load_fcst_err_dm1_mean,110
p_jb_jb_dm7_same_hh_diff,109
p_jn_jn_dm1_same_hh_diff,104
bnd_gas_plan_boundary_jn,102
bnd_receive_plan_boundary,102
bnd_gas_plan_boundary_jb_rank,100
bnd_wind_forecast_boundary_jn_day_std,97
rt_jn_jn_dm1_same_hh,95
dm1_spread_jn_same_hh,95
p_jn_nd_jn_dm1_same_hh,95
p_jb_nd_jb_dm7_same_hh_diff,91
gas_actual_jn_dm1_same_hh,91
p_jn_nd_jn_dm7_max,81
bnd_reserve_positive_rank,80
p_jn_nd_jn_dm7_same_hh_diff,79
load_actual_dm1_std,72
p_jb_jb_dm1_same_hh_diff,70
bnd_gas_plan_boundary_jb,70
load_actual_dm1_mean,66
bnd_reserve_positive,66
p_jn_jn_dm7_std,65
rt_jn_jn_dm1_spike_rate,64
bnd_pv_forecast_boundary_jb_day_std,64
bnd_load_forecast_boundary_day_mean,63
bnd_reserve_negative_rank,61
p_jb_nd_jb_dm7_max,59
p_jn_jn_dm7_mean,57
p_jb_nd_jb_dm7_std,57
rt_jb_nd_jb_dm1_std,55
re_penetration_actual_dm1,55
p_jb_nd_jb_dm1_max,54
dm1_spread_jb_abs_mean,54
wind_actual_jb_dm1_mean,53
gas_actual_jb_dm1_std,51
bnd_gas_plan_boundary_jb_day_std,51
bnd_reserve_positive_day_std,50
bnd_gas_plan_boundary_jn_day_mean,50
rt_jn_jn_dm2_std,49
re_fcst_err_dm1_std,48
bnd_reserve_positive_day_mean,47
p_jn_jn_dm1_std,46
p_jb_jb_dm7_std,44
rt_jn_nd_jn_dm2_std,44
p_jn_nd_jn_dm2_max,43
p_jn_jn_dm1_max,43
net_load_day_mean,43
bnd_reserve_negative_day_mean,43
rt_jn_jn_dm2_mean,41
dm1_spike_rate,40
p_jn_jn_dm2_mean,39
rt_jn_nd_jn_dm1_std,35
p_jn_nd_jn_dm2_std,35
bnd_gas_plan_boundary_jn_day_std,33
rt_jb_nd_jb_dm1_spike_rate,32
bnd_wind_forecast_boundary_jb_day_std,31
p_jb_nd_jb_dm2_std,31
receive_actual_dm1_mean,29
rt_jb_nd_jb_dm2_std,29
p_jb_jb_dm7_max,28
bnd_reserve_negative_day_std,27
rt_jn_nd_jn_dm1_max,27
p_jn_nd_jn_dm2_mean,26
rt_jb_nd_jb_dm1_mean,25
p_jn_nd_jn_dm1_std,25
rt_jb_jb_dm2_min,24
p_jn_jn_dm1_mean,22
p_jn_jn_dm7_min,22
p_jn_jn_dm2_min,20
bnd_gas_plan_boundary_jb_day_mean,20
p_jb_jb_dm1_max,19
rt_jb_jb_dm1_floor_rate,19
p_jn_nd_jn_dm1_max,18
rt_jb_nd_jb_dm2_mean,18
p_jn_jn_dm2_max,17
rt_jn_jn_dm1_std,17
rt_jn_nd_jn_dm1_spike_rate,14
rt_jn_jn_dm2_spike_rate,12
rt_jb_jb_dm1_spike_rate,12
p_jb_nd_jb_dm1_mean,11
p_jb_jb_dm7_min,4
