feature,importance
bnd_load_forecast_boundary,14
p_jn_jn_dm1_same_hh,8
p_jn_jn_dm2_same_hh_diff,6
bnd_gas_plan_boundary_jn_day_std,6
load_actual_dm1_mean,6
bnd_reserve_negative_day_mean,6
bnd_reserve_negative,5
bnd_load_forecast_boundary_day_mean,5
gas_actual_jn_dm1_std,5
p_jn_nd_jn_dm7_min,5
bnd_reserve_positive_day_mean,4
bnd_receive_plan_boundary_day_mean,4
p_jb_nd_jb_3d_trend,4
p_jn_nd_jn_dm1_same_hh,4
p_jb_nd_jb_dm7_same_hh_diff,4
bnd_gas_plan_boundary_jn,4
bnd_load_forecast_boundary_day_std,3
bnd_wind_forecast_boundary_jb,3
bnd_gas_plan_boundary_jb_day_mean,3
rt_jb_nd_jb_dm1_std,3
bnd_pv_forecast_boundary_jb_diff,2
bnd_gas_plan_boundary_jn_diff,2
bnd_wind_forecast_boundary_jb_rank,2
wind_actual_jb_dm1_std,2
bnd_gas_plan_boundary_jn_rank,2
p_jb_nd_jb_dm2_std,2
gas_actual_jn_dm1_mean,2
bnd_pv_forecast_boundary_jb_day_mean,2
re_fcst_err_dm1_std,2
load_actual_dm1_std,2
rt_jn_nd_jn_dm2_std,2
bnd_gas_plan_boundary_jn_day_mean,2
p_jn_jn_3d_trend,2
p_jn_jn_dm1_std,2
hh_index,2
wind_actual_jn_dm1_same_hh,2
re_total,2
net_load_actual_dm1_same_hh,2
net_load,2
pv_actual_jn_dm1_same_hh,2
p_jb_nd_jb_dm1_mean,2
pv_actual_jb_dm1_same_hh,2
rt_jb_nd_jb_dm1_same_hh,2
rt_jn_jn_dm2_same_hh,1
bnd_load_forecast_boundary_diff,1
receive_actual_dm1_mean,1
p_jb_nd_jb_dm2_same_hh_diff,1
p_jb_jb_dm2_same_hh_diff,1
bnd_gas_plan_boundary_jb_rank,1
wind_actual_jb_dm1_same_hh,1
load_fcst_err_dm1_mean,1
bnd_wind_forecast_boundary_jb_diff,1
p_jn_nd_jn_dm7_same_hh,1
p_jb_jb_3d_trend,1
p_jb_jb_dm1_mean,1
p_jb_jb_dm1_same_hh_diff,1
bnd_pv_forecast_boundary_jb_rank,1
load_actual_dm1_same_hh,1
bnd_wind_forecast_boundary_jn,1
p_jn_nd_jn_dm1_same_hh_diff,1
p_jb_nd_jb_dm7_same_hh,1
p_jn_nd_jn_dm1_max,1
pv_actual_jn_dm1_std,1
bnd_reserve_positive,1
p_jn_jn_dm7_same_hh_diff,1
rt_jb_jb_dm1_same_hh,1
p_jn_nd_jn_dm2_same_hh_diff,1
p_jb_nd_jb_dm1_same_hh_diff,1
p_jn_jn_dm1_same_hh_diff,1
p_jn_nd_jn_dm2_same_hh,1
p_jb_nd_jb_dm1_same_hh,1
net_load_day_std,0
rt_jb_nd_jb_dm1_spike_rate,0
bnd_pv_forecast_boundary_jb,0
bnd_pv_forecast_boundary_jn_rank,0
bnd_reserve_negative_rank,0
p_jn_nd_jn_dm7_std,0
bnd_receive_plan_boundary_rank,0
bnd_reserve_positive_rank,0
dm1_spread_jn_same_hh,0
gas_actual_jn_dm1_same_hh,0
p_jn_jn_dm2_same_hh,0
p_jb_nd_jb_dm7_std,0
rt_jb_nd_jb_dm2_same_hh,0
p_jb_jb_dm1_same_hh,0
p_jb_nd_jb_dm2_same_hh,0
p_jb_jb_dm7_mean,0
receive_actual_dm1_same_hh,0
bnd_wind_forecast_boundary_jn_rank,0
re_penetration,0
bnd_load_forecast_boundary_rank,0
gas_actual_jb_dm1_same_hh,0
rt_jn_jn_dm1_same_hh,0
bnd_receive_plan_boundary_diff,0
net_load_rank,0
bnd_wind_forecast_boundary_jn_diff,0
rt_jn_nd_jn_dm1_same_hh,0
bnd_gas_plan_boundary_jb,0
p_jb_jb_dm7_same_hh,0
p_jn_nd_jn_dm7_same_hh_diff,0
