feature,importance
bnd_reserve_positive,360
hh_index,315
bnd_reserve_negative,314
bnd_reserve_negative_rank,250
p_jb_nd_jb_dm1_same_hh_diff,245
bnd_wind_forecast_boundary_jn_diff,241
bnd_wind_forecast_boundary_jn_rank,241
p_jn_jn_dm1_same_hh,240
bnd_wind_forecast_boundary_jb_rank,223
bnd_gas_plan_boundary_jn_rank,219
wind_actual_jn_dm1_same_hh,207
net_load_actual_dm1_same_hh,204
bnd_wind_forecast_boundary_jb,199
p_jn_jn_3d_trend,196
wind_actual_jb_dm1_same_hh,194
p_jb_jb_dm1_same_hh_diff,192
bnd_gas_plan_boundary_jn,190
p_jn_jn_dm2_same_hh_diff,189
bnd_gas_plan_boundary_jn_day_std,187
bnd_gas_plan_boundary_jb_rank,182
receive_actual_dm1_same_hh,179
p_jn_nd_jn_dm2_same_hh,177
p_jn_jn_dm1_same_hh_diff,174
bnd_load_forecast_boundary_diff,173
p_jn_nd_jn_dm7_same_hh,173
bnd_load_forecast_boundary,173
bnd_wind_forecast_boundary_jn,172
bnd_receive_plan_boundary_rank,172
p_jn_nd_jn_dm1_same_hh_diff,170
wind_actual_jn_dm1_std,168
bnd_reserve_positive_rank,167
gas_actual_jb_dm1_same_hh,167
load_actual_dm1_same_hh,166
p_jb_nd_jb_dm2_same_hh_diff,165
p_jn_nd_jn_dm2_same_hh_diff,158
p_jn_nd_jn_dm7_same_hh_diff,156
rt_jb_nd_jb_dm2_same_hh,155
re_total,155
bnd_load_forecast_boundary_rank,153
p_jb_nd_jb_dm7_same_hh_diff,153
rt_jb_nd_jb_dm2_std,152
rt_jn_nd_jn_dm1_same_hh,152
net_load_rank,151
bnd_receive_plan_boundary_diff,150
bnd_receive_plan_boundary,149
net_load,149
p_jn_jn_dm7_same_hh_diff,146
p_jb_nd_jb_dm7_same_hh,142
receive_actual_dm1_mean,141
p_jn_jn_dm7_same_hh,140
p_jb_jb_dm2_same_hh_diff,140
p_jb_nd_jb_dm1_same_hh,137
p_jb_nd_jb_dm2_same_hh,137
re_penetration,132
rt_jn_nd_jn_dm2_same_hh,132
rt_jb_jb_dm1_same_hh,131
gas_actual_jn_dm1_same_hh,130
bnd_reserve_positive_day_std,129
rt_jn_jn_dm1_same_hh,127
p_jn_nd_jn_dm1_same_hh,127
p_jb_nd_jb_dm1_max,125
p_jb_jb_3d_trend,120
rt_jb_nd_jb_dm1_same_hh,119
p_jb_jb_dm2_same_hh,116
bnd_reserve_positive_day_mean,116
gas_actual_jn_dm1_mean,116
rt_jb_nd_jb_dm1_std,109
p_jb_nd_jb_dm7_max,108
bnd_load_forecast_boundary_day_mean,107
rt_jn_jn_dm2_same_hh,105
rt_jn_nd_jn_dm1_std,102
bnd_reserve_positive_diff,99
p_jn_nd_jn_dm7_max,98
re_fcst_err_dm1_std,97
bnd_reserve_negative_day_mean,95
bnd_pv_forecast_boundary_jn_day_mean,94
bnd_receive_plan_boundary_day_mean,93
p_jn_nd_jn_dm2_max,93
bnd_pv_forecast_boundary_jn_rank,89
bnd_pv_forecast_boundary_jb,88
load_actual_dm1_std,88
bnd_pv_forecast_boundary_jb_rank,85
bnd_reserve_negative_diff,84
bnd_load_forecast_boundary_day_std,83
p_jb_nd_jb_dm1_mean,67
bnd_receive_plan_boundary_day_std,67
pv_actual_jb_dm1_mean,66
net_load_day_std,56
re_total_day_mean,54
rt_jb_nd_jb_dm1_max,54
dm1_spread_jb_abs_mean,53
rt_jb_jb_dm1_std,50
bnd_wind_forecast_boundary_jn_day_mean,50
p_jb_jb_dm7_max,49
bnd_pv_forecast_boundary_jb_day_mean,41
p_jb_jb_dm1_max,39
rt_jn_nd_jn_dm1_min,38
rt_jb_jb_dm2_max,34
rt_jb_jb_dm1_max,27
p_jn_jn_dm2_min,19
