feature,importance
bnd_reserve_positive,414
bnd_load_forecast_boundary,317
bnd_reserve_negative,316
bnd_wind_forecast_boundary_jb,295
wind_actual_jb_dm1_same_hh,274
bnd_gas_plan_boundary_jn,264
bnd_wind_forecast_boundary_jb_rank,256
net_load,250
re_total,227
bnd_wind_forecast_boundary_jn_rank,222
bnd_gas_plan_boundary_jb,222
p_jb_nd_jb_dm1_same_hh,222
p_jb_jb_dm1_same_hh_diff,220
hh_index,216
bnd_reserve_positive_day_mean,215
p_jn_jn_dm2_same_hh_diff,211
p_jn_jn_dm7_same_hh_diff,208
p_jn_nd_jn_dm7_same_hh_diff,206
re_penetration,205
re_fcst_err_dm1_std,200
bnd_load_forecast_boundary_diff,198
pv_actual_jb_dm1_same_hh,192
p_jb_jb_dm2_same_hh_diff,189
bnd_load_forecast_boundary_rank,189
wind_actual_jn_dm1_same_hh,189
bnd_receive_plan_boundary_rank,184
p_jb_nd_jb_3d_trend,184
receive_actual_dm1_mean,173
p_jb_nd_jb_dm1_same_hh_diff,164
bnd_load_forecast_boundary_day_std,162
bnd_pv_forecast_boundary_jb_rank,160
p_jn_nd_jn_dm1_same_hh,158
pv_actual_jn_dm1_same_hh,157
bnd_pv_forecast_boundary_jn_rank,157
p_jn_jn_dm1_same_hh_diff,147
net_load_actual_dm1_min,145
bnd_reserve_positive_day_std,145
bnd_reserve_negative_diff,143
p_jb_jb_dm7_same_hh_diff,142
load_fcst_err_dm1_mean,142
rt_jb_nd_jb_dm1_std,136
p_jn_jn_dm7_std,134
bnd_pv_forecast_boundary_jb,132
p_jn_nd_jn_dm1_same_hh_diff,131
p_jn_jn_dm1_same_hh,130
p_jb_jb_dm1_same_hh,129
bnd_gas_plan_boundary_jn_rank,128
rt_jn_jn_dm1_same_hh,122
re_total_day_mean,119
bnd_reserve_negative_rank,119
gas_actual_jb_dm1_mean,117
wind_actual_jb_dm1_mean,114
p_jn_nd_jn_dm2_same_hh,112
net_load_rank,107
p_jb_jb_dm2_same_hh,104
load_actual_dm1_std,98
p_jb_jb_dm7_same_hh,96
rt_jn_jn_dm1_spike_rate,84
bnd_reserve_positive_rank,73
bnd_reserve_positive_diff,46
