feature,importance
bnd_reserve_positive,35
bnd_reserve_negative_day_mean,24
rt_jb_nd_jb_dm2_max,15
bnd_reserve_negative,13
pv_actual_jn_dm1_std,13
p_jb_nd_jb_dm2_std,13
bnd_load_forecast_boundary_day_std,11
dm1_spread_jb_abs_mean,10
p_jn_nd_jn_dm7_min,10
p_jn_nd_jn_3d_trend,9
bnd_load_forecast_boundary_day_mean,9
p_jb_jb_dm2_min,7
bnd_reserve_positive_day_mean,7
net_load,6
pv_actual_jn_dm1_mean,6
bnd_load_forecast_boundary,6
p_jn_jn_3d_trend,6
gas_actual_jb_dm1_mean,6
bnd_receive_plan_boundary,5
rt_jn_jn_dm2_mean,5
bnd_reserve_positive_rank,5
p_jb_nd_jb_dm1_same_hh_diff,5
p_jn_jn_dm1_mean,4
p_jb_nd_jb_3d_trend,3
bnd_gas_plan_boundary_jb_day_mean,3
bnd_reserve_negative_rank,2
trend_7d_jn,1
bnd_reserve_positive_day_std,1
bnd_load_forecast_boundary_rank,0
p_jn_jn_dm1_max,0
