feature,importance
bnd_reserve_positive,476
bnd_reserve_negative,457
bnd_gas_plan_boundary_jn,398
re_total,380
p_jn_jn_dm1_same_hh,333
bnd_load_forecast_boundary_rank,323
bnd_receive_plan_boundary,295
wind_actual_jb_dm1_same_hh,289
p_jn_nd_jn_dm2_same_hh_diff,265
p_jn_jn_dm1_same_hh_diff,260
wind_actual_jn_dm1_same_hh,259
pv_actual_jn_dm1_same_hh,258
p_jn_jn_dm7_same_hh_diff,256
p_jn_jn_dm2_same_hh_diff,254
rt_jb_jb_dm2_same_hh,251
p_jn_nd_jn_dm1_same_hh_diff,246
bnd_reserve_positive_day_mean,246
p_jb_jb_dm7_same_hh_diff,232
bnd_gas_plan_boundary_jn_rank,230
bnd_pv_forecast_boundary_jn_rank,226
bnd_reserve_positive_day_std,222
bnd_load_forecast_boundary,218
p_jn_jn_dm7_same_hh,213
rt_jn_nd_jn_dm1_same_hh,204
p_jn_nd_jn_dm2_same_hh,200
bnd_pv_forecast_boundary_jb,196
p_jb_nd_jb_dm1_same_hh,192
bnd_pv_forecast_boundary_jb_rank,186
p_jn_jn_3d_trend,186
rt_jn_jn_dm1_same_hh,186
load_fcst_err_dm1_mean,186
p_jb_jb_dm1_std,178
gas_actual_jn_dm1_same_hh,169
p_jb_nd_jb_dm7_std,164
p_jb_jb_dm1_same_hh_diff,163
p_jb_jb_3d_trend,160
p_jb_jb_dm7_same_hh,159
net_load,157
p_jn_nd_jn_3d_trend,154
gas_actual_jn_dm1_mean,152
re_fcst_err_dm1_std,148
vol_7d_jb,147
p_jn_nd_jn_dm7_min,143
bnd_wind_forecast_boundary_jn_day_mean,140
receive_actual_dm1_mean,136
bnd_wind_forecast_boundary_jb_day_mean,135
p_jn_jn_dm1_std,127
dm1_spread_jn_abs_mean,125
p_jn_nd_jn_dm1_same_hh,124
p_jb_nd_jb_dm2_max,124
bnd_receive_plan_boundary_day_mean,124
rt_jb_nd_jb_dm1_min,121
rt_jn_nd_jn_dm1_std,119
rt_jn_nd_jn_dm2_mean,110
p_jb_nd_jb_dm1_max,107
rt_jn_jn_dm2_mean,104
p_jn_jn_dm1_mean,97
pv_actual_jn_dm1_mean,93
p_jb_jb_dm1_same_hh,88
rt_jb_jb_dm2_mean,84
rt_jb_jb_dm2_min,83
rt_jb_nd_jb_dm1_spike_rate,81
p_jb_jb_dm1_max,80
p_jn_nd_jn_dm2_mean,79
pv_actual_jn_dm1_std,78
rt_jn_nd_jn_dm2_floor_rate,71
