feature,importance
bnd_load_forecast_boundary_day_mean,5
pv_actual_jn_dm1_std,3
receive_actual_dm1_mean,3
bnd_reserve_negative_day_mean,3
p_jb_nd_jb_dm1_same_hh,3
p_jn_jn_dm1_same_hh,3
p_jn_jn_dm2_same_hh_diff,2
dow,2
p_jn_jn_3d_avg,2
bnd_reserve_positive_day_mean,2
bnd_reserve_positive_rank,2
re_total,2
p_jn_jn_3d_trend,1
p_jb_nd_jb_dm7_same_hh_diff,1
bnd_reserve_negative,1
bnd_gas_plan_boundary_jn_rank,1
bnd_reserve_positive,1
rt_jb_nd_jb_dm2_same_hh,1
bnd_wind_forecast_boundary_jb_diff,1
p_jn_nd_jn_dm2_same_hh,1
p_jb_nd_jb_3d_trend,1
re_penetration,1
bnd_gas_plan_boundary_jb,0
p_jn_jn_dm1_std,0
bnd_gas_plan_boundary_jn,0
bnd_load_forecast_boundary_rank,0
bnd_reserve_negative_rank,0
p_jb_nd_jb_dm2_same_hh_diff,0
p_jb_jb_dm1_std,0
rt_jb_nd_jb_dm1_std,0
p_jb_nd_jb_dm1_mean,0
bnd_wind_forecast_boundary_jn,0
p_jn_nd_jn_dm1_same_hh_diff,0
