feature,importance
bnd_wind_forecast_boundary_jb_rank,400
da_same_hh,386
hh_index,366
bnd_wind_forecast_boundary_jb_diff,345
receive_actual_dm1_same_hh,323
da_jn_jn_same_hh,314
bnd_gas_plan_boundary_jn,307
bnd_gas_plan_boundary_jb_rank,307
gas_actual_jn_dm1_same_hh,303
bnd_wind_forecast_boundary_jn_rank,282
bnd_receive_plan_boundary,274
bnd_wind_forecast_boundary_jn,270
bnd_gas_plan_boundary_jn_rank,270
wind_actual_jn_dm1_same_hh,270
p_jn_jn_dm7_same_hh_diff,267
bnd_wind_forecast_boundary_jn_diff,257
bnd_pv_forecast_boundary_jb_diff,248
bnd_receive_plan_boundary_diff,238
da_jb_nd_jb_same_hh,237
bnd_reserve_negative,235
bnd_wind_forecast_boundary_jb,235
bnd_load_forecast_boundary,235
da_jn_nd_jn_same_hh,223
bnd_reserve_positive,222
p_jb_nd_jb_dm7_same_hh,221
da_rank,221
p_jb_nd_jb_dm7_same_hh_diff,219
wind_actual_jb_dm1_same_hh,215
bnd_gas_plan_boundary_jb,215
p_jb_nd_jb_dm1_same_hh_diff,211
p_jn_nd_jn_dm1_same_hh_diff,210
dm1_spread_jb_same_hh,210
net_load,209
da_diff,206
re_penetration,206
re_total,206
bnd_receive_plan_boundary_rank,206
load_actual_dm1_same_hh,203
bnd_load_forecast_boundary_rank,200
bnd_load_forecast_boundary_diff,197
rt_jn_jn_dm1_same_hh,186
p_jb_jb_dm1_same_hh_diff,186
p_jn_nd_jn_dm7_same_hh_diff,178
net_load_rank,175
bnd_reserve_positive_diff,174
p_jb_nd_jb_dm1_same_hh,170
rt_jb_nd_jb_dm2_same_hh,170
p_jn_jn_dm1_same_hh_diff,169
pv_actual_jn_dm1_same_hh,169
p_jb_nd_jb_dm2_same_hh_diff,168
p_jb_jb_dm2_same_hh_diff,168
p_jn_nd_jn_dm1_same_hh,163
rt_jn_nd_jn_dm1_same_hh,163
net_load_actual_dm1_same_hh,163
p_jb_jb_dm7_same_hh_diff,162
p_jn_jn_dm7_same_hh,161
bnd_pv_forecast_boundary_jn_diff,161
gas_actual_jb_dm1_same_hh,155
dm1_spread_jn_same_hh,154
rt_jb_jb_dm1_same_hh,153
rt_jb_jb_dm2_same_hh,150
rt_jb_nd_jb_dm1_same_hh,140
pv_actual_jb_dm1_same_hh,137
p_jn_jn_dm2_same_hh,135
p_jn_nd_jn_dm7_same_hh,133
p_jb_nd_jb_dm2_same_hh,132
bnd_reserve_positive_rank,128
p_jn_nd_jn_dm2_same_hh,127
rt_jn_nd_jn_dm2_same_hh,126
p_jn_jn_dm2_same_hh_diff,126
p_jn_nd_jn_dm2_same_hh_diff,121
bnd_reserve_negative_rank,120
p_jb_jb_dm2_same_hh,117
bnd_pv_forecast_boundary_jb,116
rt_jn_jn_dm2_same_hh,114
p_jb_jb_3d_trend,114
p_jb_jb_dm7_same_hh,111
