feature,importance
bnd_wind_forecast_boundary_jb_diff,921
bnd_wind_forecast_boundary_jb_rank,806
hh_index,782
bnd_wind_forecast_boundary_jn,764
p_jn_jn_dm7_same_hh_diff,717
bnd_gas_plan_boundary_jb_rank,692
bnd_gas_plan_boundary_jn,689
bnd_receive_plan_boundary,670
bnd_reserve_positive,660
bnd_wind_forecast_boundary_jn_rank,647
bnd_reserve_negative,643
bnd_load_forecast_boundary,638
bnd_wind_forecast_boundary_jn_diff,634
bnd_gas_plan_boundary_jb,623
p_jn_jn_dm1_same_hh_diff,622
p_jb_nd_jb_dm7_same_hh_diff,615
p_jn_nd_jn_dm2_same_hh_diff,590
bnd_receive_plan_boundary_rank,576
p_jb_nd_jb_dm2_same_hh_diff,576
p_jb_jb_dm7_same_hh_diff,576
bnd_wind_forecast_boundary_jb,572
re_penetration,570
p_jb_nd_jb_dm7_same_hh,549
bnd_load_forecast_boundary_diff,542
p_jn_jn_dm2_same_hh_diff,537
p_jb_jb_dm1_same_hh_diff,532
re_total,506
p_jb_nd_jb_3d_trend,499
p_jn_nd_jn_dm1_same_hh_diff,496
rt_jb_nd_jb_dm2_same_hh,495
net_load,480
p_jn_nd_jn_dm7_same_hh,471
rt_jb_jb_dm2_same_hh,465
p_jn_jn_dm7_same_hh,456
bnd_reserve_negative_day_mean,456
p_jb_nd_jb_dm2_same_hh,454
bnd_pv_forecast_boundary_jb_diff,442
re_fcst_err_dm1_std,429
bnd_pv_forecast_boundary_jn_diff,419
receive_actual_dm1_mean,418
da_dm1_jn_nd_jn_same_hh,411
rt_jn_nd_jn_dm2_same_hh,410
net_load_rank,410
da_dm1_jb_nd_jb_same_hh,398
p_jb_nd_jb_dm1_min,394
bnd_reserve_positive_rank,388
bnd_reserve_positive_day_mean,386
bnd_load_forecast_boundary_rank,377
da_dm1_anchor_same_hh,366
da_dm1_jn_jn_same_hh,363
gas_actual_jb_dm1_std,362
rt_jn_jn_dm2_same_hh,361
rt_jn_nd_jn_dm2_max,356
receive_actual_dm1_same_hh,342
bnd_load_forecast_boundary_day_std,340
bnd_reserve_positive_day_std,335
rt_jn_jn_dm1_min,329
rt_jn_nd_jn_dm1_min,329
gas_actual_jn_dm1_mean,322
net_load_actual_dm1_same_hh,321
wind_actual_jn_dm1_same_hh,313
re_penetration_actual_dm1,311
wind_actual_jb_dm1_same_hh,307
re_total_day_mean,303
pv_actual_jn_dm1_mean,289
bnd_reserve_negative_rank,288
p_jb_nd_jb_dm7_std,287
bnd_load_forecast_boundary_day_mean,284
load_actual_dm1_same_hh,272
wind_actual_jb_dm1_std,268
da_dm1_jb_nd_jb_day_mean,245
bnd_pv_forecast_boundary_jn,244
bnd_pv_forecast_boundary_jb,235
bnd_pv_forecast_boundary_jn_rank,232
gas_actual_jn_dm1_same_hh,224
bnd_pv_forecast_boundary_jb_rank,211
net_load_day_mean,190
rt_jn_nd_jn_dm2_min,178
p_jn_nd_jn_dm1_same_hh,170
bnd_reserve_negative_day_std,159
