feature,importance
hh_index,799
bnd_receive_plan_boundary,620
bnd_gas_plan_boundary_jn,545
bnd_wind_forecast_boundary_jb_rank,544
p_jn_jn_dm7_same_hh_diff,544
bnd_wind_forecast_boundary_jn,540
p_jn_nd_jn_dm7_same_hh,512
bnd_gas_plan_boundary_jb_rank,498
bnd_gas_plan_boundary_jb,498
bnd_wind_forecast_boundary_jb_diff,484
p_jn_nd_jn_dm2_same_hh_diff,480
re_total,478
da_dm1_anchor_same_hh,462
bnd_load_forecast_boundary,455
bnd_reserve_positive,450
p_jn_nd_jn_dm1_same_hh_diff,444
bnd_reserve_negative,429
rt_jb_nd_jb_dm2_same_hh,421
bnd_receive_plan_boundary_rank,407
da_dm1_jb_nd_jb_same_hh,403
p_jn_nd_jn_dm2_same_hh,388
net_load,386
re_penetration,384
p_jb_nd_jb_dm2_same_hh_diff,378
p_jb_nd_jb_dm7_same_hh,373
re_fcst_err_dm1_std,355
p_jn_jn_dm7_same_hh,346
p_jb_nd_jb_dm7_same_hh_diff,346
p_jn_nd_jn_dm1_same_hh,335
p_jb_nd_jb_dm1_same_hh_diff,328
receive_actual_dm1_same_hh,317
rt_jb_jb_dm2_same_hh,316
bnd_reserve_positive_day_mean,316
vol_7d_da_jn,305
wind_actual_jb_dm1_mean,304
bnd_reserve_positive_day_std,297
p_jb_jb_dm7_std,293
p_jn_nd_jn_dm7_std,289
wind_actual_jb_dm1_same_hh,289
p_jb_jb_dm7_same_hh_diff,281
rt_jn_nd_jn_dm1_same_hh,277
rt_jb_nd_jb_dm1_min,275
bnd_reserve_positive_rank,270
dm1_spread_jn_abs_mean,251
p_jn_jn_3d_avg,243
rt_jb_nd_jb_dm2_std,238
bnd_gas_plan_boundary_jn_day_std,233
p_jn_nd_jn_dm7_min,228
rt_jb_jb_dm1_std,227
rt_jb_nd_jb_dm1_same_hh,220
bnd_pv_forecast_boundary_jn,219
bnd_reserve_negative_day_mean,217
p_jn_jn_dm2_mean,211
bnd_pv_forecast_boundary_jn_day_mean,210
wind_actual_jn_dm1_same_hh,209
gas_actual_jb_dm1_same_hh,208
bnd_pv_forecast_boundary_jb_rank,208
da_dm1_anchor_day_mean,206
bnd_gas_plan_boundary_jn_day_mean,203
gas_actual_jn_dm1_same_hh,200
bnd_pv_forecast_boundary_jn_rank,200
vol_7d_rt_jn,197
pv_actual_jb_dm1_same_hh,187
bnd_receive_plan_boundary_day_mean,184
bnd_reserve_negative_rank,183
bnd_wind_forecast_boundary_jn_day_std,182
bnd_load_forecast_boundary_day_mean,182
bnd_pv_forecast_boundary_jb,177
net_load_actual_dm1_same_hh,172
p_jb_nd_jb_dm7_min,158
bnd_gas_plan_boundary_jb_day_mean,149
net_load_day_std,148
p_jn_jn_dm7_max,148
rt_jn_jn_dm1_std,137
net_load_day_mean,125
da_dm1_jn_nd_jn_same_hh,123
pv_actual_jn_dm1_same_hh,110
p_jn_nd_jn_dm1_min,107
da_dm1_anchor_day_min,49
rt_jn_jn_dm1_spike_rate,31
