feature,importance
da_same_hh,403
da_jn_nd_jn_same_hh,328
hh_index,265
p_jn_jn_dm7_same_hh_diff,223
bnd_wind_forecast_boundary_jb_diff,221
da_rank,221
bnd_receive_plan_boundary,211
wind_actual_jb_dm1_same_hh,199
bnd_wind_forecast_boundary_jn_diff,197
wind_actual_jn_dm1_same_hh,193
bnd_gas_plan_boundary_jn,192
p_jn_nd_jn_dm7_same_hh,191
da_jb_jb_same_hh,188
bnd_wind_forecast_boundary_jn_rank,185
bnd_gas_plan_boundary_jb,183
net_load,178
da_diff,176
pv_actual_jn_dm1_same_hh,175
bnd_gas_plan_boundary_jb_rank,165
bnd_wind_forecast_boundary_jb_rank,165
dm1_spread_jn_same_hh,164
bnd_wind_forecast_boundary_jn,161
rt_jn_jn_dm1_same_hh,160
receive_actual_dm1_same_hh,159
bnd_gas_plan_boundary_jn_rank,146
bnd_load_forecast_boundary,146
p_jn_jn_dm1_same_hh_diff,146
bnd_wind_forecast_boundary_jb,145
p_jn_jn_dm2_same_hh_diff,145
bnd_load_forecast_boundary_rank,144
bnd_reserve_negative,140
bnd_reserve_positive,139
gas_actual_jb_dm1_same_hh,134
bnd_receive_plan_boundary_rank,133
rt_jn_nd_jn_dm2_same_hh,132
rt_jb_nd_jb_dm2_same_hh,131
p_jn_nd_jn_dm7_same_hh_diff,129
bnd_receive_plan_boundary_diff,126
p_jn_nd_jn_dm1_same_hh,126
bnd_pv_forecast_boundary_jb_diff,124
p_jb_jb_dm7_max,122
p_jn_nd_jn_dm2_same_hh,119
p_jn_nd_jn_dm1_same_hh_diff,119
p_jn_jn_dm7_same_hh,119
p_jn_nd_jn_dm2_same_hh_diff,118
p_jb_nd_jb_dm7_same_hh,116
re_total,114
p_jb_nd_jb_dm1_same_hh,114
net_load_actual_dm1_same_hh,114
p_jb_nd_jb_dm2_same_hh_diff,113
da_jb_nd_jb_same_hh,113
net_load_rank,112
bnd_reserve_positive_rank,110
rt_jn_jn_dm2_same_hh,108
gas_actual_jn_dm1_same_hh,107
p_jn_jn_dm2_same_hh,106
re_penetration,105
pv_actual_jb_dm1_same_hh,105
p_jb_jb_dm7_same_hh_diff,104
p_jb_jb_dm2_same_hh_diff,102
load_actual_dm1_same_hh,102
p_jb_jb_dm7_same_hh,97
p_jb_nd_jb_dm2_same_hh,96
p_jb_nd_jb_dm7_same_hh_diff,93
p_jb_nd_jb_dm1_same_hh_diff,93
bnd_reserve_positive_diff,92
bnd_reserve_negative_rank,92
p_jn_jn_dm1_same_hh,90
bnd_load_forecast_boundary_diff,89
rt_jb_jb_dm1_same_hh,85
dm1_spread_jb_same_hh,85
bnd_gas_plan_boundary_jn_diff,85
rt_jn_nd_jn_dm1_same_hh,85
da_day_mean,80
p_jb_jb_dm7_std,79
p_jn_nd_jn_dm7_max,78
p_jb_jb_dm2_same_hh,78
p_jb_jb_dm1_same_hh_diff,75
rt_jb_nd_jb_dm1_same_hh,72
rt_jb_jb_dm2_same_hh,71
re_fcst_err_dm1_std,71
p_jn_nd_jn_dm7_std,69
bnd_pv_forecast_boundary_jb_rank,67
bnd_pv_forecast_boundary_jn_diff,67
bnd_wind_forecast_boundary_jb_day_std,67
p_jb_jb_dm1_same_hh,59
bnd_pv_forecast_boundary_jb,58
p_jb_nd_jb_dm7_std,58
bnd_pv_forecast_boundary_jn_rank,57
bnd_reserve_negative_diff,56
rt_jn_nd_jn_dm2_std,56
load_fcst_err_dm1_mean,55
bnd_reserve_positive_day_std,54
p_jn_nd_jn_3d_trend,51
dm1_spread_jb_std,51
load_actual_dm1_std,51
rt_jb_jb_dm2_mean,50
wind_actual_jn_dm1_mean,49
bnd_reserve_negative_day_mean,49
p_jb_jb_3d_trend,48
vol_7d_da_jn,47
da_day_median,47
wind_actual_jn_dm1_std,46
bnd_pv_forecast_boundary_jn,46
bnd_wind_forecast_boundary_jn_day_std,46
rt_jb_jb_dm2_std,45
net_load_actual_dm1_min,44
hh_rt_target_floor_rate_7d,44
bnd_load_forecast_boundary_day_std,44
p_jn_nd_jn_dm7_min,43
p_jn_jn_dm7_max,42
rt_jb_jb_dm2_floor_rate,42
rt_target_3d_trend,42
rt_jb_nd_jb_dm1_mean,42
receive_actual_dm1_std,41
dm1_spread_jn_abs_mean,39
rt_jn_jn_dm2_std,39
p_jb_nd_jb_dm7_max,39
p_jb_nd_jb_dm1_max,39
p_jb_nd_jb_3d_trend,38
da_jn_nd_jn_day_mean,38
wind_actual_jb_dm1_std,37
re_fcst_err_dm1_mean,37
gas_actual_jb_dm1_mean,37
dm1_spread_jb_mean,37
da_day_std,37
bnd_gas_plan_boundary_jn_day_mean,37
rt_jb_jb_dm1_mean,36
rt_jb_jb_dm1_std,36
dm1_spread_jn_mean,36
bnd_reserve_positive_day_mean,35
p_jn_jn_dm7_mean,35
gas_actual_jb_dm1_std,35
p_jn_jn_dm1_std,34
p_jn_jn_dm1_mean,34
rt_jn_nd_jn_dm1_max,33
rt_jn_nd_jn_dm1_std,33
net_load_day_std,32
rt_jn_jn_dm2_mean,32
rt_jb_nd_jb_dm1_min,32
dm1_spread_jb_abs_mean,32
p_jn_jn_3d_trend,32
bnd_gas_plan_boundary_jn_day_std,32
bnd_gas_plan_boundary_jb_diff,32
da_jb_jb_day_mean,32
p_jb_jb_dm2_max,31
p_jn_jn_dm2_mean,31
rt_jn_nd_jn_dm1_mean,30
p_jb_nd_jb_dm2_min,30
p_jb_nd_jb_dm1_min,29
gas_actual_jn_dm1_std,29
hh_da_floor_rate_7d,29
rt_jb_nd_jb_dm1_std,29
pv_actual_jn_dm1_std,29
p_jb_nd_jb_dm7_min,28
rt_jb_nd_jb_dm2_max,28
rt_jb_nd_jb_dm2_min,28
trend_7d_rt_jn,28
net_load_actual_dm1_mean,28
bnd_gas_plan_boundary_jb_day_std,28
bnd_receive_plan_boundary_day_std,28
bnd_pv_forecast_boundary_jb_day_mean,27
rt_jb_nd_jb_dm1_max,27
p_jb_jb_dm7_mean,27
p_jb_jb_dm2_std,26
p_jn_nd_jn_dm1_std,26
p_jn_nd_jn_dm1_max,26
p_jb_jb_dm2_mean,26
bnd_gas_plan_boundary_jb_day_mean,26
rt_jn_jn_dm1_mean,26
bnd_reserve_negative_day_std,26
bnd_wind_forecast_boundary_jn_day_mean,26
p_jn_nd_jn_dm7_mean,25
rt_jb_jb_dm2_max,25
p_jb_jb_dm1_std,25
pv_actual_jb_dm1_mean,25
p_jn_jn_dm7_std,25
wind_actual_jb_dm1_mean,24
p_jb_jb_dm1_mean,24
p_jb_nd_jb_dm7_mean,24
p_jb_nd_jb_dm2_max,24
p_jn_nd_jn_dm1_mean,24
re_penetration_actual_dm1,24
trend_7d_da_jn,24
receive_actual_dm1_mean,24
pv_actual_jn_dm1_mean,24
p_jb_nd_jb_dm2_mean,23
bnd_pv_forecast_boundary_jn_day_mean,23
bnd_load_forecast_boundary_day_mean,23
p_jb_nd_jb_dm1_std,23
da_day_range,23
da_jb_nd_jb_day_mean,22
dm1_spread_jn_std,22
load_actual_dm1_mean,21
bnd_pv_forecast_boundary_jb_day_std,21
p_jn_jn_dm2_std,21
da_floor_rate,21
bnd_receive_plan_boundary_day_mean,21
bnd_pv_forecast_boundary_jn_day_std,20
rt_jb_nd_jb_dm2_mean,20
rt_jn_jn_dm1_floor_rate,20
rt_jb_jb_dm1_floor_rate,20
p_jb_nd_jb_dm2_std,20
re_total_day_mean,19
p_jn_jn_dm7_min,19
rt_jn_nd_jn_dm1_min,18
p_jn_jn_3d_avg,18
rt_jn_jn_dm1_std,18
rt_jb_nd_jb_dm2_std,18
rt_jn_nd_jn_dm2_mean,18
bnd_wind_forecast_boundary_jb_day_mean,18
vol_7d_rt_jn,18
p_jb_nd_jb_3d_avg,18
rt_jn_nd_jn_dm2_max,17
rt_jn_nd_jn_dm2_min,17
p_jn_nd_jn_3d_avg,17
p_jn_nd_jn_dm2_max,17
hh_rt_jn_floor_rate_7d,16
pv_actual_jb_dm1_std,16
p_jb_jb_dm7_min,16
da_day_max,15
rt_jn_nd_jn_dm1_floor_rate,15
net_load_day_mean,15
rt_target_3d_avg,14
gas_actual_jn_dm1_mean,14
p_jn_nd_jn_dm2_min,14
rt_jn_jn_dm2_floor_rate,13
rt_jn_jn_dm1_spike_rate,13
p_jb_jb_3d_avg,13
dow,13
rt_jn_jn_dm2_max,12
p_jb_nd_jb_dm1_mean,12
rt_jb_jb_dm2_min,12
p_jn_jn_dm1_max,12
p_jn_nd_jn_dm2_std,11
p_jn_nd_jn_dm1_min,11
rt_jb_nd_jb_dm1_floor_rate,10
hh_rt_jb_floor_rate_7d,9
p_jn_jn_dm1_min,9
p_jn_jn_dm2_min,9
p_jb_jb_dm1_max,9
p_jn_nd_jn_dm2_mean,6
da_spike_rate,6
p_jb_jb_dm1_min,6
