feature,importance
bnd_wind_forecast_boundary_jn,301
bnd_wind_forecast_boundary_jb_rank,291
da_day_mean,285
bnd_load_forecast_boundary,269
da_same_hh,265
bnd_gas_plan_boundary_jn,263
re_fcst_err_dm1_std,234
hh_index,230
p_jn_jn_dm1_std,221
wind_actual_jb_dm1_same_hh,206
bnd_wind_forecast_boundary_jb,197
receive_actual_dm1_same_hh,197
da_day_std,195
wind_actual_jn_dm1_same_hh,194
bnd_gas_plan_boundary_jb,193
bnd_wind_forecast_boundary_jb_diff,193
pv_actual_jb_dm1_mean,189
gas_actual_jn_dm1_same_hh,181
p_jb_nd_jb_dm7_same_hh_diff,177
bnd_wind_forecast_boundary_jb_day_std,176
bnd_receive_plan_boundary,176
p_jb_nd_jb_dm2_std,172
gas_actual_jb_dm1_std,172
p_jn_jn_dm7_same_hh_diff,172
da_jb_nd_jb_same_hh,167
re_total,162
load_actual_dm1_same_hh,161
p_jn_nd_jn_dm7_same_hh_diff,159
p_jb_nd_jb_dm2_same_hh_diff,159
bnd_gas_plan_boundary_jb_rank,159
bnd_gas_plan_boundary_jn_day_std,158
p_jb_nd_jb_dm7_same_hh,158
bnd_reserve_negative,157
da_rank,156
bnd_wind_forecast_boundary_jn_diff,156
bnd_reserve_positive_day_mean,155
net_load,155
da_jn_nd_jn_same_hh,150
pv_actual_jn_dm1_same_hh,143
bnd_load_forecast_boundary_rank,142
bnd_reserve_positive,142
p_jn_nd_jn_dm2_min,140
p_jb_jb_dm1_same_hh_diff,135
bnd_pv_forecast_boundary_jb_diff,132
da_jn_jn_same_hh,131
bnd_wind_forecast_boundary_jn_rank,129
p_jn_jn_dm7_same_hh,129
net_load_actual_dm1_same_hh,129
rt_jb_jb_dm1_same_hh,127
p_jb_nd_jb_dm2_same_hh,127
re_penetration,122
p_jb_jb_dm7_same_hh_diff,122
pv_actual_jb_dm1_same_hh,121
p_jb_nd_jb_dm1_same_hh_diff,118
dm1_spread_jb_same_hh,114
bnd_receive_plan_boundary_day_std,112
p_jb_nd_jb_dm1_same_hh,111
p_jn_nd_jn_dm1_same_hh_diff,110
p_jn_nd_jn_dm2_same_hh_diff,105
p_jn_nd_jn_dm7_same_hh,105
p_jn_nd_jn_dm2_same_hh,105
rt_jb_nd_jb_dm1_same_hh,104
rt_jb_jb_dm2_same_hh,102
rt_jn_nd_jn_dm1_same_hh,98
p_jn_nd_jn_dm1_same_hh,97
gas_actual_jb_dm1_same_hh,96
rt_jn_jn_dm2_same_hh,95
bnd_reserve_positive_rank,93
rt_jb_nd_jb_dm2_same_hh,91
p_jb_jb_dm2_same_hh,83
bnd_pv_forecast_boundary_jb,83
bnd_pv_forecast_boundary_jn_rank,81
p_jb_jb_dm2_same_hh_diff,80
bnd_load_forecast_boundary_diff,74
bnd_pv_forecast_boundary_jn_diff,74
bnd_reserve_positive_diff,72
rt_jn_nd_jn_dm2_same_hh,71
p_jb_jb_dm7_same_hh,55
bnd_reserve_negative_rank,55
bnd_pv_forecast_boundary_jn,47
