feature,importance
wind_actual_jb_dm1_same_hh,528
bnd_gas_plan_boundary_jb,424
bnd_wind_forecast_boundary_jb,424
da_same_hh,399
bnd_wind_forecast_boundary_jn,381
bnd_gas_plan_boundary_jn,365
bnd_wind_forecast_boundary_jb_rank,363
bnd_receive_plan_boundary,354
hh_index,350
wind_actual_jn_dm1_same_hh,344
da_rank,335
rt_jb_jb_dm2_mean,332
bnd_gas_plan_boundary_jb_rank,330
load_actual_dm1_same_hh,330
p_jb_jb_dm7_std,330
bnd_wind_forecast_boundary_jn_diff,329
da_jn_nd_jn_same_hh,329
p_jb_nd_jb_dm7_same_hh,319
bnd_gas_plan_boundary_jn_rank,317
p_jn_jn_dm2_same_hh_diff,315
bnd_wind_forecast_boundary_jb_diff,307
bnd_wind_forecast_boundary_jn_rank,302
rt_jn_jn_dm1_same_hh,302
gas_actual_jn_dm1_same_hh,300
pv_actual_jn_dm1_same_hh,291
p_jn_nd_jn_dm7_same_hh,288
p_jn_nd_jn_dm7_std,285
da_jb_jb_same_hh,278
p_jb_nd_jb_dm1_same_hh,277
p_jb_nd_jb_dm2_same_hh,275
p_jn_jn_dm7_same_hh_diff,272
net_load_actual_dm1_same_hh,259
bnd_reserve_negative_day_mean,255
dm1_spread_jn_same_hh,254
da_jb_nd_jb_same_hh,254
gas_actual_jb_dm1_same_hh,254
da_day_mean,251
p_jb_nd_jb_dm7_same_hh_diff,251
rt_jn_nd_jn_dm1_same_hh,250
bnd_load_forecast_boundary_rank,248
receive_actual_dm1_same_hh,247
re_penetration,246
p_jn_nd_jn_dm1_same_hh,243
p_jn_nd_jn_dm2_same_hh_diff,242
bnd_gas_plan_boundary_jn_diff,241
rt_jb_nd_jb_dm2_same_hh,241
net_load,239
bnd_receive_plan_boundary_rank,238
p_jb_nd_jb_dm1_same_hh_diff,238
p_jb_nd_jb_dm2_same_hh_diff,237
bnd_wind_forecast_boundary_jb_day_std,236
p_jb_jb_dm7_same_hh_diff,232
bnd_reserve_positive,232
bnd_load_forecast_boundary,230
da_diff,229
re_total,229
bnd_reserve_negative,225
bnd_pv_forecast_boundary_jb_diff,223
pv_actual_jb_dm1_same_hh,220
p_jn_jn_dm7_same_hh,215
rt_jb_nd_jb_dm1_same_hh,212
p_jn_jn_dm2_same_hh,209
rt_jn_jn_dm2_same_hh,209
da_jn_nd_jn_day_mean,209
bnd_reserve_positive_rank,206
gas_actual_jb_dm1_std,204
rt_jn_nd_jn_dm2_same_hh,202
p_jn_nd_jn_dm1_same_hh_diff,197
p_jn_nd_jn_dm2_same_hh,195
p_jb_nd_jb_dm2_std,190
bnd_receive_plan_boundary_day_std,188
p_jb_jb_dm2_same_hh_diff,188
bnd_load_forecast_boundary_diff,184
p_jn_jn_dm1_std,176
p_jb_jb_dm1_same_hh_diff,175
p_jn_jn_dm7_max,165
bnd_pv_forecast_boundary_jn_diff,161
bnd_reserve_negative_rank,108
bnd_pv_forecast_boundary_jb,99
bnd_pv_forecast_boundary_jn,79
