path,filename,ext,phase,region,data_type,data_name,date_in_filename
./总表/事后/事后_江北总表合集,实际统调风光情况_光伏_江北分区_合并总表.xlsx,.xlsx,事后,江北,风光(统调),实际统调风光情况_光伏_江北分区_合并总表,
./总表/事后/事后_江北总表合集,实际储能固定出力总值_江北分区_合并总表.xlsx,.xlsx,事后,江北,储能,实际储能固定出力总值_江北分区_合并总表,
./总表/事后/事后_江北总表合集,实际电网运行情况_江北分区_合并总表.xlsx,.xlsx,事后,江北,电网运行,实际电网运行情况_江北分区_合并总表,
./总表/事后/事后_江北总表合集,实际统调风光情况_江北分区_合并总表.xlsx,.xlsx,事后,江北,风光(统调),实际统调风光情况_江北分区_合并总表,
./总表/事后/事后_江北总表合集,实际煤电固定出力总值_江北分区_合并总表.xlsx,.xlsx,事后,江北,煤电,实际煤电固定出力总值_江北分区_合并总表,
./总表/事后/事后_江南总表合集,实际煤电固定出力总值_江南分区_合并总表.xlsx,.xlsx,事后,江南,煤电,实际煤电固定出力总值_江南分区_合并总表,
./总表/事后/事后_江南总表合集,实际电网运行情况_江南分区_合并总表.xlsx,.xlsx,事后,江南,电网运行,实际电网运行情况_江南分区_合并总表,
./总表/事后/事后_江南总表合集,实际统调风光情况_风力_江南分区_合并总表.xlsx,.xlsx,事后,江南,风光(统调),实际统调风光情况_风力_江南分区_合并总表,
./总表/事后/事后_江南总表合集,实际储能固定出力总值_江南分区_合并总表.xlsx,.xlsx,事后,江南,储能,实际储能固定出力总值_江南分区_合并总表,
./总表/事后/事后_江南总表合集,实际统调风光情况_光伏_江南分区_合并总表.xlsx,.xlsx,事后,江南,风光(统调),实际统调风光情况_光伏_江南分区_合并总表,
./总表/事后/事后_汇总总表合集,日前出清结果（公开）_合并总表.xlsx,.xlsx,事后,汇总,市场出清结果,日前出清结果(公开)_合并总表,
./总表/事后/事后_汇总总表合集,实际受电情况_合并总表.xlsx,.xlsx,事后,汇总,受电,实际受电情况_合并总表,
./总表/事后/事后_汇总总表合集,实际系统负荷_合并总表.xlsx,.xlsx,事后,汇总,系统负荷,实际系统负荷_合并总表,
./总表/事后/事后_汇总总表合集,实时出清结果（公开）_合并总表.xlsx,.xlsx,事后,汇总,市场出清结果,实时出清结果(公开)_合并总表,
./总表/事前/事前_江南总表合集,统调风光功率预测_太阳能_江南分区_合并总表.xlsx,.xlsx,事前,江南,风光(统调),统调风光功率预测_太阳能_江南分区_合并总表,
./总表/事前/事前_江南总表合集,储能发电计划_江南分区_合并总表.xlsx,.xlsx,事前,江南,储能,储能发电计划_江南分区_合并总表,
./总表/事前/事前_江南总表合集,煤电发电计划_江南分区合并总表.xlsx,.xlsx,事前,江南,煤电,煤电发电计划_江南分区合并总表,
./总表/事前/事前_江南总表合集,统调风光功率预测_风力_江南分区_合并总表.xlsx,.xlsx,事前,江南,风光(统调),统调风光功率预测_风力_江南分区_合并总表,
./总表/事前/事前_江南总表合集,燃机固定出力总值_江南分区_合并总表.xlsx,.xlsx,事前,江南,燃机,燃机固定出力总值_江南分区_合并总表,
./总表/事前/事前_江北总表合集,燃机固定出力总值_江北分区_合并总表.xlsx,.xlsx,事前,江北,燃机,燃机固定出力总值_江北分区_合并总表,
./总表/事前/事前_江北总表合集,煤电发电计划_江北分区_合并总表.xlsx,.xlsx,事前,江北,煤电,煤电发电计划_江北分区_合并总表,
./总表/事前/事前_江北总表合集,统调风光功率预测_风力_江北分区_合并总表.xlsx,.xlsx,事前,江北,风光(统调),统调风光功率预测_风力_江北分区_合并总表,
./总表/事前/事前_江北总表合集,储能发电计划_江北分区_合并总表.xlsx,.xlsx,事前,江北,储能,储能发电计划_江北分区_合并总表,
