feature,base_missing_count,zero_run_missing_count_ge_96,adjusted_missing_count,adjusted_missing_ratio,adjusted_non_null_count
reserve_negative_汇总,192,0,192,0.01639344262295082,11520
reserve_positive_汇总,192,0,192,0.01639344262295082,11520
gas_actual_江北,0,0,0,0.0,11712
gas_actual_江南,0,0,0,0.0,11712
load_actual_total_汇总,0,0,0,0.0,11712
load_forecast_boundary_汇总,0,0,0,0.0,11712
load_forecast_clearing_汇总,0,0,0,0.0,11712
price_dayahead_jb_node_江北,0,0,0,0.0,11712
price_dayahead_jb_江北,0,0,0,0.0,11712
price_dayahead_jn_node_江南,0,0,0,0.0,11712
price_dayahead_jn_江南,0,0,0,0.0,11712
price_realtime_jb_final_江北,0,0,0,0.0,11712
price_realtime_jb_node_江北,0,0,0,0.0,11712
price_realtime_jn_final_江南,0,0,0,0.0,11712
price_realtime_jn_node_江南,0,0,0,0.0,11712
pv_actual_江北,0,0,0,0.0,11712
pv_actual_江南,0,0,0,0.0,11712
receive_actual_huadong_华东,0,0,0,0.0,11712
receive_plan_boundary_汇总,0,0,0,0.0,11712
receive_plan_clearing_汇总,0,0,0,0.0,11712
wind_actual_江北,0,0,0,0.0,11712
wind_actual_江南,0,0,0,0.0,11712
