metric_id,region_id,quality_flag,points,total_points,ratio_in_metric
coal_actual,江北,0,3360,23040,0.14583333333333334
coal_actual,江北,4,1,23040,4.340277777777778e-05
coal_actual,江北,5,19679,23040,0.8541232638888889
coal_actual,江南,0,3360,23040,0.14583333333333334
coal_actual,江南,4,1,23040,4.340277777777778e-05
coal_actual,江南,5,19679,23040,0.8541232638888889
gas_actual,江北,0,22848,23040,0.9916666666666667
gas_actual,江北,4,192,23040,0.008333333333333333
gas_actual,江南,0,22752,23040,0.9875
gas_actual,江南,4,288,23040,0.0125
load_actual_total,汇总,0,22944,23040,0.9958333333333333
load_actual_total,汇总,4,96,23040,0.004166666666666667
load_forecast_boundary,汇总,0,22752,23040,0.9875
load_forecast_boundary,汇总,4,288,23040,0.0125
load_forecast_clearing,汇总,0,22752,23040,0.9875
load_forecast_clearing,汇总,4,288,23040,0.0125
price_dayahead_jb,江北,0,20256,23040,0.8791666666666667
price_dayahead_jb,江北,4,2784,23040,0.12083333333333333
price_dayahead_jb_node,江北,0,20256,23040,0.8791666666666667
price_dayahead_jb_node,江北,4,2784,23040,0.12083333333333333
price_dayahead_jn,江南,0,20256,23040,0.8791666666666667
price_dayahead_jn,江南,4,2784,23040,0.12083333333333333
price_dayahead_jn_node,江南,0,20256,23040,0.8791666666666667
price_dayahead_jn_node,江南,4,2784,23040,0.12083333333333333
price_realtime_jb_final,江北,0,19392,23040,0.8416666666666667
price_realtime_jb_final,江北,4,3648,23040,0.15833333333333333
price_realtime_jb_node,江北,0,20352,23040,0.8833333333333333
price_realtime_jb_node,江北,4,2688,23040,0.11666666666666667
price_realtime_jn_final,江南,0,19392,23040,0.8416666666666667
price_realtime_jn_final,江南,4,3648,23040,0.15833333333333333
price_realtime_jn_node,江南,0,20352,23040,0.8833333333333333
price_realtime_jn_node,江南,4,2688,23040,0.11666666666666667
pv_actual,江北,0,22848,23040,0.9916666666666667
pv_actual,江北,4,192,23040,0.008333333333333333
pv_actual,江南,0,22848,23040,0.9916666666666667
pv_actual,江南,4,192,23040,0.008333333333333333
receive_actual_huadong,华东,0,22848,23040,0.9916666666666667
receive_actual_huadong,华东,4,192,23040,0.008333333333333333
receive_plan_boundary,汇总,0,22752,23040,0.9875
receive_plan_boundary,汇总,4,288,23040,0.0125
receive_plan_clearing,汇总,0,22752,23040,0.9875
receive_plan_clearing,汇总,4,288,23040,0.0125
reserve_negative,汇总,0,22560,23040,0.9791666666666666
reserve_negative,汇总,4,480,23040,0.020833333333333332
reserve_positive,汇总,0,22560,23040,0.9791666666666666
reserve_positive,汇总,4,480,23040,0.020833333333333332
storage_actual,江北,0,4608,23040,0.2
storage_actual,江北,4,1,23040,4.340277777777778e-05
storage_actual,江北,5,18431,23040,0.7999565972222222
storage_actual,江南,0,4608,23040,0.2
storage_actual,江南,4,1,23040,4.340277777777778e-05
storage_actual,江南,5,18431,23040,0.7999565972222222
wind_actual,江北,0,22848,23040,0.9916666666666667
wind_actual,江北,4,192,23040,0.008333333333333333
wind_actual,江南,0,22848,23040,0.9916666666666667
wind_actual,江南,4,192,23040,0.008333333333333333
